T (K),Liquid fraction (%),Density (kg/m^3),Thermal conductivity (W/(m*K)),Enthalpy (J/kg),Specific enthalpy (J/kg),Specific heat (J/(Kg K)), Latent heat (J/Kg)
3000,100,5924.36,50.564,2246438,2488326.15,845,171401
2995,100,5929.05,50.488,2242213,2484101.15,845,171401
2990,100,5933.75,50.412,2237988,2479876.15,845,171401
2985,100,5938.45,50.336,2233763,2475651.15,845,171401
2980,100,5943.15,50.26,2229538,2471426.15,845,171401
2975,100,5947.84,50.184,2225313,2467201.15,845,171401
2970,100,5952.54,50.107,2221088,2462976.15,845,171401
2965,100,5957.23,50.031,2216863,2458751.15,845,171401
2960,100,5961.93,49.955,2212638,2454526.15,845,171401
2955,100,5966.62,49.879,2208413,2450301.15,845,171401
2950,100,5971.32,49.803,2204188,2446076.15,845,171401
2945,100,5976.01,49.727,2199963,2441851.15,845,171401
2940,100,5980.7,49.651,2195738,2437626.15,845,171401
2935,100,5985.39,49.574,2191513,2433401.15,845,171401
2930,100,5990.09,49.498,2187288,2429176.15,845,171401
2925,100,5994.78,49.422,2183063,2424951.15,845,171401
2920,100,5999.47,49.346,2178838,2420726.15,845,171401
2915,100,6004.16,49.27,2174613,2416501.15,845,171401
2910,100,6008.84,49.194,2170388,2412276.15,845,171401
2905,100,6013.53,49.118,2166163,2408051.15,845,171401
2900,100,6018.22,49.042,2161938,2403826.15,845,171401
2895,100,6022.9,48.965,2157713,2399601.15,845,171401
2890,100,6027.59,48.889,2153488,2395376.15,845,171401
2885,100,6032.27,48.813,2149263,2391151.15,845,171401
2880,100,6036.96,48.737,2145038,2386926.15,845,171401
2875,100,6041.64,48.661,2140813,2382701.15,845,171401
2870,100,6046.32,48.585,2136588,2378476.15,845,171401
2865,100,6051,48.509,2132363,2374251.15,845,171401
2860,100,6055.68,48.432,2128138,2370026.15,845,171401
2855,100,6060.36,48.356,2123913,2365801.15,845,171401
2850,100,6065.04,48.28,2119688,2361576.15,845,171401
2845,100,6069.71,48.204,2115463,2357351.15,845,171401
2840,100,6074.39,48.128,2111238,2353126.15,845,171401
2835,100,6079.06,48.052,2107013,2348901.15,845,171401
2830,100,6083.74,47.976,2102788,2344676.15,845,171401
2825,100,6088.41,47.9,2098563,2340451.15,845,171401
2820,100,6093.08,47.823,2094338,2336226.15,845,171401
2815,100,6097.75,47.747,2090113,2332001.15,845,171401
2810,100,6102.42,47.671,2085888,2327776.15,845,171401
2805,100,6107.09,47.595,2081663,2323551.15,845,171401
2800,100,6111.75,47.519,2077438,2319326.15,845,171401
2795,100,6116.42,47.443,2073213,2315101.15,845,171401
2790,100,6121.08,47.367,2068988,2310876.15,845,171401
2785,100,6125.74,47.29,2064763,2306651.15,845,171401
2780,100,6130.4,47.214,2060539,2302426.15,845,171401
2775,100,6135.06,47.138,2056314,2298201.15,845,171401
2770,100,6139.72,47.062,2052089,2293976.15,845,171401
2765,100,6144.38,46.986,2047864,2289751.15,845,171401
2760,100,6149.04,46.91,2043639,2285526.15,845,171401
2755,100,6153.69,46.834,2039414,2281301.15,845,171401
2750,100,6158.34,46.758,2035189,2277076.15,845,171401
2745,100,6162.99,46.681,2030964,2272851.15,845,171401
2740,100,6167.64,46.605,2026739,2268626.15,845,171401
